Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,20 to 29,23475,183,0.78
01/01/2000 12:00:00 AM,Central,F,30 to 39,29410,403,1.37
01/01/2000 12:00:00 AM,Central,F,40 to 49,29328,845,2.88
01/01/2000 12:00:00 AM,Central,F,50 to 59,21582,1492,6.91
01/01/2000 12:00:00 AM,Central,F,60 to 69,13577,1686,12.42
01/01/2000 12:00:00 AM,Central,F,70 to 79,11175,1823,16.31
01/01/2000 12:00:00 AM,Central,F,80 +,7973,1169,14.66
01/01/2000 12:00:00 AM,Central,M,20 to 29,22118,145,0.66
01/01/2000 12:00:00 AM,Central,M,30 to 39,26849,417,1.55
01/01/2000 12:00:00 AM,Central,M,40 to 49,27221,905,3.32
01/01/2000 12:00:00 AM,Central,M,50 to 59,20608,1945,9.44
01/01/2000 12:00:00 AM,Central,M,60 to 69,12718,2220,17.46
01/01/2000 12:00:00 AM,Central,M,70 to 79,8289,1733,20.91
01/01/2000 12:00:00 AM,Central,M,80 +,3798,749,19.72
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,8569,108,1.26
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,11131,236,2.12
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,13870,521,3.76
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,11414,946,8.29
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,7950,1147,14.43
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,6336,1195,18.86
01/01/2000 12:00:00 AM,Eastern,F,80 +,5273,852,16.16
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,8517,69,0.81
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,10854,189,1.74
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,13629,603,4.42
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,11828,1249,10.56
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,7718,1400,18.14
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,5072,1184,23.34
01/01/2000 12:00:00 AM,Eastern,M,80 +,2706,580,21.43
01/01/2000 12:00:00 AM,Northern,F,20 to 29,8460,81,0.96
01/01/2000 12:00:00 AM,Northern,F,30 to 39,10816,177,1.64
01/01/2000 12:00:00 AM,Northern,F,40 to 49,12084,336,2.78
01/01/2000 12:00:00 AM,Northern,F,50 to 59,9758,674,6.91
01/01/2000 12:00:00 AM,Northern,F,60 to 69,6507,812,12.48
01/01/2000 12:00:00 AM,Northern,F,70 to 79,5545,879,15.85
01/01/2000 12:00:00 AM,Northern,F,80 +,4436,662,14.92
01/01/2000 12:00:00 AM,Northern,M,20 to 29,8313,71,0.85
01/01/2000 12:00:00 AM,Northern,M,30 to 39,10497,132,1.26
01/01/2000 12:00:00 AM,Northern,M,40 to 49,11934,457,3.83
01/01/2000 12:00:00 AM,Northern,M,50 to 59,10018,878,8.76
01/01/2000 12:00:00 AM,Northern,M,60 to 69,6371,965,15.15
01/01/2000 12:00:00 AM,Northern,M,70 to 79,4332,833,19.23
01/01/2000 12:00:00 AM,Northern,M,80 +,2220,410,18.47
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,12660,82,0.65
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,10151,101,0.99
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,7285,183,2.51
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,4797,306,6.38
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,2886,300,10.4
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,2244,317,14.13
01/01/2000 12:00:00 AM,Unknown,F,80 +,1639,234,14.28
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,12458,78,0.63
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,9211,124,1.35
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,6814,168,2.47
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,4584,382,8.33
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,2738,380,13.88
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,1606,294,18.31
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,140,17.39
01/01/2000 12:00:00 AM,Western,F,20 to 29,10324,83,0.8
01/01/2000 12:00:00 AM,Western,F,30 to 39,14307,228,1.59
01/01/2000 12:00:00 AM,Western,F,40 to 49,16498,575,3.49
01/01/2000 12:00:00 AM,Western,F,50 to 59,13854,1039,7.5
01/01/2000 12:00:00 AM,Western,F,60 to 69,9392,1281,13.64
01/01/2000 12:00:00 AM,Western,F,70 to 79,7542,1362,18.06
01/01/2000 12:00:00 AM,Western,F,80 +,6034,1006,16.67
01/01/2000 12:00:00 AM,Western,M,20 to 29,10216,58,0.57
01/01/2000 12:00:00 AM,Western,M,30 to 39,13831,193,1.4
01/01/2000 12:00:00 AM,Western,M,40 to 49,15993,564,3.53
01/01/2000 12:00:00 AM,Western,M,50 to 59,13771,1321,9.59
01/01/2000 12:00:00 AM,Western,M,60 to 69,9321,1439,15.44
01/01/2000 12:00:00 AM,Western,M,70 to 79,6367,1328,20.86
01/01/2000 12:00:00 AM,Western,M,80 +,3440,669,19.45
01/01/2001 12:00:00 AM,Central,F,20 to 29,23533,182,0.77
01/01/2001 12:00:00 AM,Central,F,30 to 39,29177,433,1.48
01/01/2001 12:00:00 AM,Central,F,40 to 49,30288,937,3.09
01/01/2001 12:00:00 AM,Central,F,50 to 59,22571,1654,7.33
01/01/2001 12:00:00 AM,Central,F,60 to 69,13941,1816,13.03
01/01/2001 12:00:00 AM,Central,F,70 to 79,11226,1911,17.02
01/01/2001 12:00:00 AM,Central,F,80 +,8302,1242,14.96
01/01/2001 12:00:00 AM,Central,M,20 to 29,22276,146,0.66
01/01/2001 12:00:00 AM,Central,M,30 to 39,26681,423,1.59
01/01/2001 12:00:00 AM,Central,M,40 to 49,28299,1012,3.58
01/01/2001 12:00:00 AM,Central,M,50 to 59,21391,2120,9.91
01/01/2001 12:00:00 AM,Central,M,60 to 69,13065,2400,18.37
01/01/2001 12:00:00 AM,Central,M,70 to 79,8454,1879,22.23
01/01/2001 12:00:00 AM,Central,M,80 +,4085,837,20.49
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,8406,116,1.38
01/01/2001 12:00:00 AM,Eastern,F,30 to 39,10821,241,2.23
01/01/2001 12:00:00 AM,Eastern,F,40 to 49,13904,595,4.28
01/01/2001 12:00:00 AM,Eastern,F,50 to 59,11806,987,8.36
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,8076,1253,15.52
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,6309,1252,19.84
01/01/2001 12:00:00 AM,Eastern,F,80 +,5382,918,17.06
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,8334,69,0.83
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,10551,212,2.01
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,13608,620,4.56
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,12161,1370,11.27
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,7872,1492,18.95
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,5139,1249,24.3
01/01/2001 12:00:00 AM,Eastern,M,80 +,2734,603,22.06
01/01/2001 12:00:00 AM,Northern,F,20 to 29,8286,80,0.97
01/01/2001 12:00:00 AM,Northern,F,30 to 39,10577,193,1.82
01/01/2001 12:00:00 AM,Northern,F,40 to 49,12314,400,3.25
01/01/2001 12:00:00 AM,Northern,F,50 to 59,10070,753,7.48
01/01/2001 12:00:00 AM,Northern,F,60 to 69,6655,869,13.06
01/01/2001 12:00:00 AM,Northern,F,70 to 79,5511,911,16.53
01/01/2001 12:00:00 AM,Northern,F,80 +,4554,735,16.14
01/01/2001 12:00:00 AM,Northern,M,20 to 29,8113,72,0.89
01/01/2001 12:00:00 AM,Northern,M,30 to 39,10363,152,1.47
01/01/2001 12:00:00 AM,Northern,M,40 to 49,12008,511,4.26
01/01/2001 12:00:00 AM,Northern,M,50 to 59,10388,956,9.2
01/01/2001 12:00:00 AM,Northern,M,60 to 69,6522,1066,16.34
01/01/2001 12:00:00 AM,Northern,M,70 to 79,4370,881,20.16
01/01/2001 12:00:00 AM,Northern,M,80 +,2323,459,19.76
01/01/2001 12:00:00 AM,Unknown,F,20 to 29,12168,75,0.62
01/01/2001 12:00:00 AM,Unknown,F,30 to 39,9849,102,1.04
01/01/2001 12:00:00 AM,Unknown,F,40 to 49,7224,197,2.73
01/01/2001 12:00:00 AM,Unknown,F,50 to 59,4862,326,6.71
01/01/2001 12:00:00 AM,Unknown,F,60 to 69,2846,308,10.82
01/01/2001 12:00:00 AM,Unknown,F,70 to 79,2208,312,14.13
01/01/2001 12:00:00 AM,Unknown,F,80 +,1638,245,14.96
01/01/2001 12:00:00 AM,Unknown,M,20 to 29,12169,72,0.59
01/01/2001 12:00:00 AM,Unknown,M,30 to 39,9012,137,1.52
01/01/2001 12:00:00 AM,Unknown,M,40 to 49,6831,182,2.66
01/01/2001 12:00:00 AM,Unknown,M,50 to 59,4661,396,8.5
01/01/2001 12:00:00 AM,Unknown,M,60 to 69,2751,407,14.79
01/01/2001 12:00:00 AM,Unknown,M,70 to 79,1565,306,19.55
01/01/2001 12:00:00 AM,Unknown,M,80 +,791,133,16.81
01/01/2001 12:00:00 AM,Western,F,20 to 29,10088,87,0.86
